t_us,raw
3436912,6650
3441912,6649
3446912,6649
3451916,6649
3456916,6650
3461916,6649
3466916,6649
3471916,6649
3476916,6649
3481916,6649
3486916,6650
3491916,6649
3496916,6650
3501916,6650
3506916,6650
3511916,6650
3516916,6649
3521916,6648
3526916,6650
3531916,6649
3536916,6650
3541916,6649
3546916,6648
3551916,6650
3556916,6649
3561916,6649
3566916,6648
3571916,6650
3576916,6650
3581916,6649
3586916,6648
3591916,6650
3596916,6649
3601916,6648
3606916,6648
3611916,6649
3616920,6650
3621920,6649
3626920,6648
3631920,6649
3636920,6649
3641920,6649
3646920,6649
3651920,6649
3656920,6649
3661920,6648
3666920,6649
3671920,6649
3676920,6649
3681920,6649
3686920,6650
3691920,6650
3696924,6648
3701924,6649
3706928,6649
3711928,6649
3716928,6648
3721928,6650
3726928,6648
3731928,6649
3736928,6649
3741928,6649
3746928,6649
3751928,6649
3756928,6649
3761928,6648
3766932,6648
3771932,6648
3776936,6649
3781936,6648
3786940,6649
3791940,6650
3796940,6649
3801940,6649
3806940,6649
3811940,6649
3816940,6650
3821940,6648
3826940,6650
3831940,6649
3836940,6649
3841940,6649
3846940,6649
3851940,6650
3856940,6648
3861940,6648
3866940,6648
3871940,6649
3876944,6649
3881944,6649
3886944,6648
3891944,6649
3896948,6649
3901948,6649
3906948,6649
3911952,6650
3916952,6649
3921952,6649
3926952,6649
3931952,6648
3936952,6649
3941952,6649
3946956,6649
3951956,6649
3956956,6650
3961956,6649
3966956,6649
3971956,6649
3976956,6649
3981956,6649
3986956,6648
3991956,6649
3996956,6648
4001956,6649
4006960,6649
4011960,6649
4016960,6649
4021960,6649
4026960,6649
4031960,6649
4036960,6649
4041960,6647
4046964,6649
4051968,6648
4056968,6649
4061968,6649
4066972,6649
4071972,6649
4076972,6649
4081972,6649
4086972,6649
4091972,6648
4096972,6649
4101972,6649
4106972,6649
4111972,6649
4116972,6649
4121976,6648
4126976,6649
4131976,6648
4136976,6649
4141976,6648
4146976,6648
4151976,6649
4156976,6649
4161976,6649
4166976,6649
4171976,6649
4176976,6649
4181980,6648
4186980,6649
4191980,6649
4196980,6648
4201984,6649
4206984,6649
4211988,6649
4216988,6649
4221988,6648
4226988,6648
4231988,6649
4236988,6650
4241988,6649
4246992,6649
4251992,6649
4256992,6649
4261992,6649
4266992,6649
4271992,6649
4276992,6649
4281992,6649
4286992,6648
4291992,6648
4296992,6648
4301992,6649
4306992,6649
4311992,6650
4316992,6650
4321992,6647
4326992,6649
4331992,6648
4336992,6649
4341996,6648
4347000,6648
4352008,6649
4357008,6649
4362008,6649
4367008,6649
4372008,6649
4377008,6649
4382008,6649
4387008,6648
4392008,6649
4397008,6648
4402008,6650
4407008,6649
4412008,6649
4417008,6649
4422008,6649
4427008,6648
4432008,6649
4437012,6649
4442012,6648
4447012,6648
4452012,6649
4457012,6649
4462012,6649
4467012,6649
4472012,6649
4477012,6649
4482016,6649
4487016,6648
4492016,6649
4497016,6648
4502016,6648
4507016,6649
4512016,6649
4517016,6649
4522020,6648
4527020,6649
4532020,6649
4537020,6650
4542020,6648
4547020,6649
4552020,6650
4557020,6648
4562020,6649
4567020,6648
4572020,6649
4577020,6648
4582020,6648
4587020,6649
4592020,6649
4597020,6650
4602020,6648
4607024,6648
4612028,6649
4617028,6648
4622028,6648
4627028,6648
4632028,6649
4637028,6649
4642028,6648
4647028,6649
4652032,6649
4657032,6649
4662032,6648
4667032,6648
4672032,6648
4677032,6649
4682032,6648
4687032,6648
4692032,6648
4697032,6649
4702036,6648
4707040,6649
4712044,6649
4717044,6649
4722044,6649
4727044,6648
4732044,6648
4737044,6649
4742044,6649
4747044,6649
4752044,6648
4757044,6649
4762044,6648
4767044,6648
4772044,6648
4777044,6649
4782044,6648
4787044,6648
4792044,6649
4797044,6649
4802044,6649
4807044,6648
4812048,6648
4817048,6649
4822048,6649
4827048,6649
4832048,6649
4837048,6648
4842048,6648
4847048,6648
4852048,6648
4857048,6648
4862048,6648
4867052,6648
4872056,6649
4877056,6648
4882056,6648
4887056,6648
4892056,6649
4897056,6649
4902056,6649
4907056,6649
4912056,6650
4917056,6648
4922056,6649
4927056,6648
4932056,6648
4937056,6648
4942056,6648
4947056,6649
4952060,6649
4957064,6648
4962068,6648
4967072,6648
4972072,6649
4977072,6648
4982076,6648
4987076,6649
4992076,6648
4997076,6649
5002076,6648
5007076,6648
5012076,6648
5017080,6648
5022080,6648
5027080,6649
5032080,6648
5037080,6648
5042080,6648
5047080,6648
5052080,6649
5057080,6648
5062084,6649
5067084,6648
5072084,6649
5077084,6649
5082084,6648
5087084,6648
5092084,6648
5097084,6649
5102084,6648
5107084,6648
5112084,6649
5117084,6649
5122084,6648
5127084,6649
5132084,6649
5137084,6648
5142084,6648
